"Jour	Type	Clics	Impressions	CTR	CPC.moy.	Co?t	Position.moy.	Clics.convertis	Co?t.clic.converti	Taux.de.conversion.des.clics	Conv..apr?s.affichage	Valeur.de.conv..totale"
"24/09/2012	Brand	195	1692	0,115248227	0,228153846	44,49	23	7	6,355714286	0,035897436	0	933,15"
"25/09/2012	Brand	186	2197	0,084660901	0,234032258	43,53	24	6	7,255	0,032258065	0	642,15"
"26/09/2012	Brand	210	1488	0,141129032	0,205380952	43,13	23,2	6	7,188333333	0,028571429	0	873,2"
"27/09/2012	Brand	182	1955	0,093094629	0,234120879	42,61	22,1	8	5,32625	0,043956044	0	1314,55"
"28/09/2012	Brand	25	370	0,067567568	0,2016	5,04	9	2	2,52	0,08	0	865,85"
"29/09/2012	Brand	0	0	0	0	0	0	0	0	0	0	0"
"30/09/2012	Brand	0	0	0	0	0	0	0	0	0	0	0"
"01/10/2012	Brand	181	1881	0,096225412	0,228232044	41,31	13	14	2,950714286	0,077348066	0	1587,3"
"02/10/2012	Brand	186	2259	0,082337317	0,219193548	40,77	27	6	6,795	0,032258065	0	742,2"
"03/10/2012	Brand	161	1247	0,129109864	0,249937888	40,24	43	8	5,03	0,049689441	0	851,6"
"04/10/2012	Brand	185	2191	0,08443633	0,248918919	46,05	46,5	12	3,8375	0,064864865	0	1650,75"
"05/10/2012	Brand	180	1781	0,101066816	0,249222222	44,86	47	7	6,408571429	0,038888889	0	555,65"
"06/10/2012	Brand	170	1759	0,096645821	0,265235294	45,09	44,4	11	4,099090909	0,064705882	0	2275,8"
"07/10/2012	Brand	166	1909	0,086956522	0,265361446	44,05	41	11	4,004545455	0,06626506	0	1065,15"
"08/10/2012	Brand	191	1086	0,17587477	0,247591623	47,29	42	7	6,755714286	0,036649215	0	615,1"
"09/10/2012	Brand	170	2468	0,068881686	0,275882353	46,9	45,5	7	6,7	0,041176471	0	687,65"
"10/10/2012	Brand	119	1869	0,063670412	0,389495798	46,35	45,5	7	6,621428571	0,058823529	0	807,65"
"11/10/2012	Brand	92	847	0,108618654	0,499347826	45,94	45,6	3	15,31333333	0,032608696	0	157,85"
"12/10/2012	Brand	101	1514	0,0667107	0,449009901	45,35	43,2	5	9,07	0,04950495	0	426,75"
"13/10/2012	Brand	127	2046	0,062072336	0,351496063	44,64	43,8	2	22,32	0,015748031	0	230,45"
"14/10/2012	Brand	125	1979	0,063163214	0,36072	45,09	46,1	8	5,63625	0,064	0	1315,45"
"15/10/2012	Brand	150	1663	0,090198437	0,3122	46,83	43,6	4	11,7075	0,026666667	0	698,8"
"16/10/2012	Brand	142	2870	0,049477352	0,322535211	45,8	44,6	5	9,16	0,035211268	0	640,75"
"17/10/2012	Brand	123	1265	0,097233202	0,380894309	46,85	45,5	9	5,205555556	0,073170732	0	1405"
"18/10/2012	Brand	129	2536	0,050867508	0,35	45,15	47,6	7	6,45	0,054263566	0	699,9"
"19/10/2012	Brand	109	2333	0,04672096	0,38	41,42	44,2	1	41,42	0,009174312	0	202,45"
"20/10/2012	Brand	110	1759	0,062535532	0,405545455	44,61	45,1	8	5,57625	0,072727273	0	881,6"
"21/10/2012	Brand	120	1812	0,066225166	0,380583333	45,67	46,5	5	9,134	0,041666667	0	574,25"
"22/10/2012	Brand	129	941	0,137088204	0,362170543	46,72	42,3	5	9,344	0,03875969	0	1133,75"
"23/10/2012	Brand	115	2884	0,039875173	0,364086957	41,87	46,2	3	13,95666667	0,026086957	0	318,8"
"24/10/2012	Brand	166	1583	0,104864182	0,288192771	47,84	43,6	3	15,94666667	0,018072289	0	380,35"
"25/10/2012	Brand	197	1784	0,110426009	0,225583756	44,44	45,1	7	6,348571429	0,035532995	0	643,7"
"26/10/2012	Brand	194	1237	0,156831043	0,227061856	44,05	43,1	9	4,894444444	0,046391753	0	776,05"
"27/10/2012	Brand	187	1408	0,1328125	0,232566845	43,49	46	4	10,8725	0,021390374	0	701,8"
"28/10/2012	Brand	163	730	0,223287671	0,266380368	43,42	47	7	6,202857143	0,042944785	0	1383,5"
"29/10/2012	Brand	204	1530	0,133333333	0,225784314	46,06	43,4	9	5,117777778	0,044117647	0	1131,7"
"30/10/2012	Brand	193	1757	0,109846329	0,220621762	42,58	44,3	8	5,3225	0,041450777	0	1255,45"
"31/10/2012	Brand	180	1446	0,124481328	0,208055556	37,45	44,1	7	5,35	0,038888889	0	709"
"01/11/2012	Brand	195	1947	0,100154083	0,233435897	45,52	43,7	9	5,057777778	0,046153846	0	1043,85"
"02/11/2012	Brand	185	1732	0,106812933	0,246324324	45,57	45,5	8	5,69625	0,043243243	0	983,2"
"03/11/2012	Brand	180	1327	0,13564431	0,218055556	39,25	44,4	6	6,541666667	0,033333333	0	551"
"04/11/2012	Brand	229	2040	0,112254902	0,200655022	45,95	46,9	11	4,177272727	0,048034934	0	1292,2"
"05/11/2012	Brand	202	1032	0,195736434	0,231336634	46,73	48,9	3	15,57666667	0,014851485	0	311,35"
"06/11/2012	Brand	214	1015	0,210837438	0,214345794	45,87	46	12	3,8225	0,056074766	0	952,95"
"07/11/2012	Brand	234	1610	0,145341615	0,198247863	46,39	43,6	12	3,865833333	0,051282051	0	1507,4"
"08/11/2012	Brand	216	2895	0,074611399	0,209305556	45,21	45,2	11	4,11	0,050925926	0	1391,45"
"09/11/2012	Brand	215	2454	0,087612062	0,184976744	39,77	46,2	10	3,977	0,046511628	0	1195,55"
"10/11/2012	Brand	209	2534	0,082478295	0,209904306	43,87	46,9	8	5,48375	0,038277512	0	1219,5"
